Date,Volume,Open,High,Low,SMA_20,RSI,slowk,slowd,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Close,prediction,pred_tomorrow,target,status,buy_cost,sell_cost,trade_ret,net_trade_ret,open_ret,strategy_ret,strategy_net_ret,buy_and_hold_equity,strategy_equity,strategy_net_equity
2021-06-29,1259391696,137.9,138.7,137.3,137.1924999999999,54.54453050404664,61.1111111111108,56.2962962962959,0.4242402001480627,0.4774795153590774,-0.0532393152110146,139.39119847867588,137.1924999999999,134.99380152132397,137.6,137.551,138.1988,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2021-06-30,1355932363,138.1,139.35,138.05,137.2549999999999,59.08947689556493,73.54715540282524,63.034236986126594,0.5527690985512663,0.4925374319975152,0.0602316665537511,139.57553873057972,137.2549999999999,134.9344612694201,138.95,138.1988,138.70897,1,1.0,138.1,0.0,0.0,0.0,0.0014503263234226793,0.0,0.0,1.0014503263234227,1.0,1.0
2021-07-01,649025587,139.0,139.2,138.05,137.2849999999999,56.176981237017074,79.66399389079794,71.44075346824455,0.5953171631286978,0.5130933782237517,0.082223784904946,139.6429864291664,137.2849999999999,134.92701357083342,138.3,138.70897,138.66084,0,1.0,0.0,0.0,0.0,0.0,0.006517016654598251,0.006517016654598251,0.006517016654598251,1.0079767947788252,1.0065170166545983,1.0065170166545983
2021-07-02,667110798,138.3,138.5,137.9,137.31999999999994,56.176981237017074,82.81786941580764,78.67633956981017,0.6218683001836212,0.5348483626157255,0.0870199375678956,139.71612186670777,137.31999999999994,134.9238781332921,138.3,138.66084,138.68886,1,0.0,0.0,138.3,0.0014482259232441496,-0.0017517740767558506,-0.005035971223021463,-0.005035971223021463,-0.008235971223021462,1.0029006526468456,1.0014482259232442,0.9982273714699496
2021-07-05,1100359360,138.75,140.0,138.75,137.45249999999993,60.67315986143451,83.14276788503601,81.87487706388042,0.7392873585579025,0.575736161804161,0.1635511967537415,140.03774176821318,137.45249999999993,134.86725823178668,139.6,138.68886,140.0949,1,1.0,138.75,0.0,0.0,0.0,0.0032537960954446277,0.0,0.0,1.0061638868745468,1.0014482259232442,0.9982273714699496
2021-07-06,915548456,139.85,140.05,139.45,137.57499999999993,61.16822359663677,88.55746092859486,84.8393660764794,0.8348232321154399,0.6275535758664168,0.207269656249023,140.34528879363222,137.57499999999993,134.80471120636764,139.75,140.0949,139.4224,0,1.0,0.0,0.0,0.0,0.0,0.007927927927927847,0.007927927927927847,0.007927927927927847,1.014140681653372,1.0093876352819149,1.0061412461266481
2021-07-07,942786963,139.6,139.65,138.6,137.69999999999993,57.285207091443944,89.46764946764922,87.05595942709324,0.8403305606050537,0.6701089728141442,0.1702215877909095,140.49051966488548,137.69999999999993,134.90948033511438,139.0,139.4224,139.02072,0,0.0,0.0,139.6,0.006126126126126085,0.002926126126126085,-0.001787629603146268,-0.001787629603146268,-0.004987629603146268,1.0123277737490934,1.0075832240640352,1.0011229862625204
2021-07-08,567119389,139.15,139.5,138.2,137.86749999999992,56.51252164254365,84.68468468468438,87.56993169364272,0.8231031904974486,0.700707816350805,0.1223953741466435,140.50781721581595,137.86749999999992,135.2271827841839,138.85,139.02072,137.96039,0,0.0,0.0,0.0,0.0,0.0,-0.003223495702005641,-0.0,-0.0,1.0090645395213922,1.0075832240640352,1.0011229862625204
2021-07-09,986007526,137.9,137.9,136.95,137.87499999999994,51.07212816836644,72.67267267267239,82.27500227500188,0.7124765821168637,0.7030615695040168,0.0094150126128469,140.51308642771588,137.87499999999994,135.236913572284,137.75,137.96039,138.19382,1,0.0,0.0,0.0,0.0,0.0,-0.008983111749910178,-0.0,-0.0,0.9999999999999999,1.0075832240640352,1.0011229862625204
2021-07-12,1913348729,139.05,140.05,138.55,137.91999999999993,56.2288700539572,72.31231231231202,76.55655655655615,0.717399021908534,0.7059290599849202,0.0114699619236138,140.60223787165188,137.91999999999993,135.23776212834798,139.0,138.19382,140.23206,1,1.0,139.05,0.0,0.0,0.0,0.008339376359681072,0.0,0.0,1.0083393763596809,1.0075832240640352,1.0011229862625204
2021-07-13,1968576900,140.0,141.0,139.95,137.98499999999996,60.367383093171,73.29241329241314,72.7591327591324,0.8048180385896444,0.725706855705865,0.0791111828837793,140.81326802126105,137.98499999999996,135.15673197873886,140.15,140.23206,140.73701,1,1.0,0.0,0.0,0.0,0.0,0.006832074793239773,0.006832074793239773,0.006832074793239773,1.015228426395939,1.0144671080112544,1.0079627333818975
2021-07-14,1350159685,140.2,141.1,140.15,138.07499999999996,61.55865268954162,82.7584010192705,76.12104220799843,0.8920572335553061,0.7589769312757533,0.1330803022795528,141.09650624690684,138.07499999999996,135.05349375309308,140.5,140.73701,141.07231,1,1.0,0.0,0.0,0.0,0.0,0.0014285714285713347,0.0014285714285713347,0.0014285714285713347,1.0166787527193617,1.0159163467369847,1.0094026801438716
2021-07-15,1746117456,140.95,141.85,140.8,138.24999999999994,65.68445318373112,89.11354120618655,81.72145183928994,1.053944839485041,0.8179705129176108,0.2359743265674302,141.68103482933338,138.24999999999994,134.8189651706665,141.8,141.07231,140.62172,0,1.0,0.0,0.0,0.0,0.0,0.005349500713266675,0.005349500713266675,0.005349500713266675,1.022117476432197,1.0213509919584736,1.0148024805012745
2021-07-16,1327200973,139.8,140.0,139.05,138.34499999999997,56.19198913741016,82.07534131084384,84.64909451210018,1.0172021394073738,0.8578168382155634,0.1593853011918103,141.8475562094103,138.34499999999997,134.84244379058964,139.9,140.62172,138.73845,0,0.0,0.0,139.8,0.005393743257820927,0.002193743257820927,-0.008158921603405256,-0.008158921603405256,-0.011358921603405256,1.0137781000725163,1.0130178692855243,1.0032754186823194
2021-07-19,1500042445,139.0,139.2,137.55,138.52499999999998,49.68085690767222,62.27350753385489,77.8207966836283,0.8491877488689283,0.8560910203462364,-0.006903271477308,141.60420444272245,138.52499999999998,135.4457955572775,138.3,138.73845,137.67445,0,0.0,0.0,0.0,0.0,0.0,-0.005722460658083017,-0.0,-0.0,1.0079767947788252,1.0130178692855243,1.0032754186823194
2021-07-20,1160744460,137.8,138.3,137.05,138.64249999999998,45.75546961474235,30.952380952381073,58.433743265693145,0.6201259015938945,0.808897996595768,-0.1887720950018735,141.30262687668693,138.64249999999998,135.98237312331304,137.2,137.67445,136.96396,0,0.0,0.0,0.0,0.0,0.0,-0.008633093525179825,-0.0,-0.0,0.9992748368382885,1.0130178692855243,1.0032754186823194
2021-07-21,1813074896,138.0,138.0,136.1,138.62499999999994,44.051672650629506,14.36261461106181,35.8628343657658,0.3937084896080876,0.7258600951982319,-0.3321516055901443,141.33101182556746,138.62499999999994,135.91898817443243,136.7,136.96396,137.65567,1,0.0,0.0,0.0,0.0,0.0,0.0014513788098693414,0.0,0.0,1.0007251631617113,1.0130178692855243,1.0032754186823194
2021-07-22,862215168,137.8,138.55,137.25,138.67249999999996,48.012721431516105,14.164448388050788,19.826481317164433,0.2876126997091432,0.6382106161004142,-0.3505979163912709,141.27297591799993,138.67249999999996,136.07202408199998,137.65,137.65567,137.61826,0,1.0,137.8,0.0,0.0,0.0,-0.0014492753623187582,-0.0,-0.0,0.9992748368382887,1.0130178692855243,1.0032754186823194
2021-07-23,446860983,138.05,138.3,137.35,138.70749999999998,48.012721431516105,21.449275362318826,16.65877945381035,0.2012115799910816,0.5508108088785477,-0.3495992288874661,141.23203461059512,138.70749999999998,136.18296538940484,137.65,137.61826,137.09149,0,0.0,0.0,138.05,0.0018142235123367197,-0.0013857764876632804,0.0018142235123366213,0.0018142235123366213,-0.0013857764876633789,1.001087744742567,1.0148557101223992,1.0018851031964588
2021-07-26,1661811908,137.75,138.05,136.25,138.67,43.50093359799171,19.999999999999982,18.537907916789745,0.0354988898417047,0.4477484250711791,-0.4122495352294743,141.30294511907823,138.67,136.03705488092174,136.45,137.09149,136.36679,0,0.0,0.0,0.0,0.0,0.0,-0.002173125679101884,-0.0,-0.0,0.9989122552574328,1.0148557101223992,1.0018851031964588
2021-07-27,1457154226,136.5,137.05,136.05,138.61,43.31827633122026,13.025987006496644,18.158420789605028,-0.0987261396467431,0.3384535121275946,-0.4371796517743378,141.38841681539756,138.61,135.8315831846024,136.4,136.36679,134.78049,0,0.0,0.0,0.0,0.0,0.0,-0.00907441016333943,-0.0,-0.0,0.9898477157360404,1.0148557101223992,1.0018851031964588
2021-07-28,4245231662,136.1,136.1,133.75,138.375,36.26651859791543,6.098092928844049,13.04135997844677,-0.374273087084731,0.1959081922851295,-0.5701812793698606,141.7331989220517,138.375,135.0168010779483,134.25,134.78049,135.9112,1,0.0,0.0,0.0,0.0,0.0,-0.00293040293040292,-0.0,-0.0,0.9869470630891948,1.0148557101223992,1.0018851031964588
