Volume,Open,High,Low,SMA_20,RSI,slowk,slowd,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Close,prediction,pred_tomorrow,target,status
820657527,135.6,136.05,134.5,136.68499999999997,45.090287485721426,29.02066643445934,56.5621336493121,0.4313554618781836,0.6256188119209077,-0.1942633500427241,139.80895582556286,136.68499999999997,133.56104417443703,134.85,137.551,138.1988,1,
887399669,135.0,137.15,134.8,136.81749999999994,52.600507785284925,22.239057239057132,35.352197280541375,0.4298668015586031,0.5864684098484468,-0.1566016082898437,139.7622028712737,136.81749999999994,133.87279712872618,137.05,138.1988,138.70897,1,1.0
861039047,137.05,137.25,136.45,136.92749999999995,51.396126650727055,37.77777777777763,29.679167150431255,0.3958814773588415,0.5483510233505258,-0.1524695459916842,139.6754947234434,136.92749999999995,134.1795052765565,136.7,138.70897,138.66084,0,1.0
911180118,137.45,137.95,136.7,137.0974999999999,52.237364754092184,53.333333333333144,37.78338945005586,0.3846863489702912,0.5156180884744789,-0.1309317395041876,139.3678468898208,137.0974999999999,134.827153110179,136.95,138.66084,138.68886,1,0.0
560920233,137.0,137.5,136.5,137.1674999999999,53.11134282087882,54.44444444444409,48.51851851851817,0.3914743669112397,0.490789344161831,-0.0993149772505913,139.35845298902828,137.1674999999999,134.97654701097153,137.2,138.68886,140.0949,1,1.0
1259391696,137.9,138.7,137.3,137.1924999999999,54.54453050404664,61.1111111111108,56.2962962962959,0.4242402001480627,0.4774795153590774,-0.0532393152110146,139.39119847867588,137.1924999999999,134.99380152132397,137.6,140.0949,139.4224,0,1.0
1355932363,138.1,139.35,138.05,137.2549999999999,59.08947689556493,73.54715540282524,63.034236986126594,0.5527690985512663,0.4925374319975152,0.0602316665537511,139.57553873057972,137.2549999999999,134.9344612694201,138.95,139.4224,139.02072,0,0.0
649025587,139.0,139.2,138.05,137.2849999999999,56.176981237017074,79.66399389079794,71.44075346824455,0.5953171631286978,0.5130933782237517,0.082223784904946,139.6429864291664,137.2849999999999,134.92701357083342,138.3,139.02072,137.96039,0,0.0
667110798,138.3,138.5,137.9,137.31999999999994,56.176981237017074,82.81786941580764,78.67633956981017,0.6218683001836212,0.5348483626157255,0.0870199375678956,139.71612186670777,137.31999999999994,134.9238781332921,138.3,137.96039,138.19382,1,0.0
1100359360,138.75,140.0,138.75,137.45249999999993,60.67315986143451,83.14276788503601,81.87487706388042,0.7392873585579025,0.575736161804161,0.1635511967537415,140.03774176821318,137.45249999999993,134.86725823178668,139.6,138.19382,140.23206,1,1.0
915548456,139.85,140.05,139.45,137.57499999999993,61.16822359663677,88.55746092859486,84.8393660764794,0.8348232321154399,0.6275535758664168,0.207269656249023,140.34528879363222,137.57499999999993,134.80471120636764,139.75,140.23206,140.73701,1,1.0
942786963,139.6,139.65,138.6,137.69999999999993,57.285207091443944,89.46764946764922,87.05595942709324,0.8403305606050537,0.6701089728141442,0.1702215877909095,140.49051966488548,137.69999999999993,134.90948033511438,139.0,140.73701,141.07231,1,1.0
567119389,139.15,139.5,138.2,137.86749999999992,56.51252164254365,84.68468468468438,87.56993169364272,0.8231031904974486,0.700707816350805,0.1223953741466435,140.50781721581595,137.86749999999992,135.2271827841839,138.85,141.07231,140.62172,0,1.0
986007526,137.9,137.9,136.95,137.87499999999994,51.07212816836644,72.67267267267239,82.27500227500188,0.7124765821168637,0.7030615695040168,0.0094150126128469,140.51308642771588,137.87499999999994,135.236913572284,137.75,140.62172,138.73845,0,0.0
1913348729,139.05,140.05,138.55,137.91999999999993,56.2288700539572,72.31231231231202,76.55655655655615,0.717399021908534,0.7059290599849202,0.0114699619236138,140.60223787165188,137.91999999999993,135.23776212834798,139.0,138.73845,137.67445,0,0.0
1968576900,140.0,141.0,139.95,137.98499999999996,60.367383093171,73.29241329241314,72.7591327591324,0.8048180385896444,0.725706855705865,0.0791111828837793,140.81326802126105,137.98499999999996,135.15673197873886,140.15,137.67445,136.96396,0,0.0
1350159685,140.2,141.1,140.15,138.07499999999996,61.55865268954162,82.7584010192705,76.12104220799843,0.8920572335553061,0.7589769312757533,0.1330803022795528,141.09650624690684,138.07499999999996,135.05349375309308,140.5,136.96396,137.65567,1,0.0
1746117456,140.95,141.85,140.8,138.24999999999994,65.68445318373112,89.11354120618655,81.72145183928994,1.053944839485041,0.8179705129176108,0.2359743265674302,141.68103482933338,138.24999999999994,134.8189651706665,141.8,137.65567,137.61826,0,1.0
1327200973,139.8,140.0,139.05,138.34499999999997,56.19198913741016,82.07534131084384,84.64909451210018,1.0172021394073738,0.8578168382155634,0.1593853011918103,141.8475562094103,138.34499999999997,134.84244379058964,139.9,137.61826,137.09149,0,0.0
1500042445,139.0,139.2,137.55,138.52499999999998,49.68085690767222,62.27350753385489,77.8207966836283,0.8491877488689283,0.8560910203462364,-0.006903271477308,141.60420444272245,138.52499999999998,135.4457955572775,138.3,137.09149,136.36679,0,0.0
1160744460,137.8,138.3,137.05,138.64249999999998,45.75546961474235,30.952380952381073,58.433743265693145,0.6201259015938945,0.808897996595768,-0.1887720950018735,141.30262687668693,138.64249999999998,135.98237312331304,137.2,136.36679,134.78049,0,0.0
1813074896,138.0,138.0,136.1,138.62499999999994,44.051672650629506,14.36261461106181,35.8628343657658,0.3937084896080876,0.7258600951982319,-0.3321516055901443,141.33101182556746,138.62499999999994,135.91898817443243,136.7,134.78049,135.9112,1,0.0
